source_id,canonical_id,canonical_type,source_severity,canonical_highest_severity,domain,source_report,source_section_lines,source_title,canonical_title
A11Y-001,CAN-018,merged,High,High,Accessibility and Localization,05_Accessibility_Localization.md,51-131,Core library and mini-player actions use raw tap gestures instead of semantic controls,Primary library and mini-player actions use raw gestures instead of semantic controls
A11Y-002,CAN-019,merged,High,High,Accessibility and Localization,05_Accessibility_Localization.md,132-211,"The 10-band EQ is drag-only and has no adjustable, focus, or keyboard semantics","The 10-band EQ is a drag-only, undersized, non-adjustable control"
A11Y-003,A11Y-003,standalone,Medium,Medium,Accessibility and Localization,05_Accessibility_Localization.md,212-278,The lyrics overlay lacks an accessible close name and modal focus management,The lyrics overlay lacks an accessible close name and modal focus management
A11Y-004,A11Y-004,standalone,Medium,Medium,Accessibility and Localization,05_Accessibility_Localization.md,279-333,"Volume, crossfade, and fade-out sliders do not expose purpose-specific labels/values","Volume, crossfade, and fade-out sliders do not expose purpose-specific labels/values"
A11Y-005,A11Y-005,standalone,Medium,Medium,Accessibility and Localization,05_Accessibility_Localization.md,334-377,Favorite and A-B loop controls have visible hit regions below 44×44 points,Favorite and A-B loop controls have visible hit regions below 44×44 points
A11Y-006,CAN-025,merged,Medium,Medium,Accessibility and Localization,05_Accessibility_Localization.md,378-438,"Fixed frames and line limits can clip Dynamic Type, including on the non-scrollable Now Playing surface",Now Playing lacks an adaptive scroll/layout contract for short heights and Dynamic Type
A11Y-007,A11Y-007,standalone,Medium,Medium,Accessibility and Localization,05_Accessibility_Localization.md,439-497,Active palette and lyrics transitions do not honor Reduce Motion,Active palette and lyrics transitions do not honor Reduce Motion
A11Y-008,A11Y-008,standalone,Medium,Medium,Accessibility and Localization,05_Accessibility_Localization.md,498-543,Shuffle-on and repeat-all states rely on opacity/color when their symbols do not change,Shuffle-on and repeat-all states rely on opacity/color when their symbols do not change
A11YTEST-001,CAN-020,merged,Informational,Informational,Accessibility and Localization,05_Accessibility_Localization.md,762-847,"Accessibility, Dynamic Type, locale, RTL, and widget accessibility have no automated coverage","Accessibility, Dynamic Type, locale, RTL, and widget behavior lack a real verification lane"
AUD-BIT-001,AUD-BIT-001,standalone,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,239-278,Bit-perfect cache is not keyed by track or route,Bit-perfect cache is not keyed by track or route
AUD-BIT-002,AUD-BIT-002,standalone,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,279-307,“Bit-perfect” is asserted without observing the active engine signal path,“Bit-perfect” is asserted without observing the active engine signal path
AUD-CONFIG-001,CAN-024,merged,Medium,High,Audio Reliability,01_Audio_Reliability.md,213-238,"Bit-perfect, buffer, and sample-rate controls do not configure audio",Visible audio settings persist values but do not configure the active audio engine
AUD-DIAG-001,CAN-016,merged,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,585-613,Engine metrics are synthetic while native monitoring overhead is unconditional,Audio diagnostics report synthetic zero metrics while polling an empty collector
AUD-DSP-001,CAN-023,merged,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,361-386,DSP capability and persistence silently diverge by engine,Persisted EQ is not restored or reapplied across engine creation and switching
AUD-ENG-001,AUD-ENG-001,standalone,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,61-100,AVAudioEngine preference is ignored,AVAudioEngine preference is ignored
AUD-ENG-002,AUD-ENG-002,standalone,High,High,Audio Reliability,01_Audio_Reliability.md,101-122,Play requests are not serialized or cancelled,Play requests are not serialized or cancelled
AUD-FORMAT-001,AUD-FORMAT-001,standalone,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,149-186,M4A container is always reported as ALAC/lossless,M4A container is always reported as ALAC/lossless
AUD-FORMAT-002,AUD-FORMAT-002,standalone,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,187-212,Import UI exposes formats the playback detector cannot represent,Import UI exposes formats the playback detector cannot represent
AUD-QUEUE-001,CAN-014,merged,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,387-402,Queue edits use the wrong absolute index,Queue edit callbacks translate visible offsets to the wrong absolute indices
AUD-QUEUE-002,AUD-QUEUE-002,standalone,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,403-419,Repeat-one also repeats manual Next/Previous,Repeat-one also repeats manual Next/Previous
AUD-RECOVERY-001,AUD-RECOVERY-001,standalone,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,420-463,Queue resume position is dropped and shuffled order is restored incorrectly,Queue resume position is dropped and shuffled order is restored incorrectly
AUD-REMOTE-001,AUD-REMOTE-001,standalone,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,513-541,Skip commands are enabled but discarded,Skip commands are enabled but discarded
AUD-RESET-001,AUD-RESET-001,standalone,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,542-562,Media-services reset does not rebuild invalid audio objects,Media-services reset does not rebuild invalid audio objects
AUD-SEEK-001,AUD-SEEK-001,standalone,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,464-484,Native seek loses absolute offset; A-B loop is coarse and failure-blind,Native seek loses absolute offset; A-B loop is coarse and failure-blind
AUD-SESSION-001,AUD-SESSION-001,standalone,High,High,Audio Reliability,01_Audio_Reliability.md,123-148,Audio-session ownership is split and native load deactivates after activation,Audio-session ownership is split and native load deactivates after activation
AUD-SESSION-002,AUD-SESSION-002,standalone,High,High,Audio Reliability,01_Audio_Reliability.md,485-512,Interruption intent and route-loss safety are not preserved,Interruption intent and route-loss safety are not preserved
AUD-SLEEP-001,CAN-015,merged,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,563-584,Sleep timer is view-scoped and its fade assumes full volume,Sleep-timer ownership is transient and fade volume starts from 1.0
AUD-TRANSITION-001,AUD-TRANSITION-001,standalone,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,308-338,Gapless/native crossfade controls do not produce seamless transitions,Gapless/native crossfade controls do not produce seamless transitions
AUD-TRANSITION-002,AUD-TRANSITION-002,standalone,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,339-360,Cancelling an AudioKit crossfade leaves split playback state,Cancelling an AudioKit crossfade leaves split playback state
AUD-WIDGET-001,CAN-017,merged,Medium,Medium,Audio Reliability,01_Audio_Reliability.md,614-671,Widget time and queue modes become stale while the app polls forever,Widget synchronization is stale and poll-driven
CP-001,CP-001,standalone,Medium,Medium,Concurrency and Performance,03_Concurrency_Performance.md,45-135,Semaphore waiters are not cancellation-aware,Semaphore waiters are not cancellation-aware
CP-002,CAN-013,merged,High,High,Concurrency and Performance,03_Concurrency_Performance.md,136-192,Import cancellation does not reach AsyncStream producers,Import cancellation does not propagate to AsyncStream producers
CP-003,CP-003,standalone,High,High,Concurrency and Performance,03_Concurrency_Performance.md,193-268,Queue mutations synchronously persist the full queue on the MainActor,Queue mutations synchronously persist the full queue on the MainActor
CP-004,CAN-010,merged,High,High,Concurrency and Performance,03_Concurrency_Performance.md,269-337,Concurrent imports can pass duplicate checks before either commits,Concurrent import deduplication has a check-to-insert race
CP-005,CAN-012,merged,Medium,Medium,Concurrency and Performance,03_Concurrency_Performance.md,338-394,Old session teardown can clear a newly started listening session,Listening-session replacement is unsequenced and can clear the new session
CP-006,CAN-017,merged,Medium,Medium,Concurrency and Performance,03_Concurrency_Performance.md,395-443,Widget synchronization polls the queue every 500 ms even when idle,Widget synchronization is stale and poll-driven
CP-007,CP-007,standalone,Medium,Medium,Concurrency and Performance,03_Concurrency_Performance.md,444-502,AudioKit creates a MainActor task every 100 ms in addition to centralized polling,AudioKit creates a MainActor task every 100 ms in addition to centralized polling
CP-008,CP-008,standalone,Medium,Medium,Concurrency and Performance,03_Concurrency_Performance.md,503-561,Home and Search execute synchronous SwiftData work on the MainActor,Home and Search execute synchronous SwiftData work on the MainActor
CP-009,CP-009,standalone,Medium,Medium,Concurrency and Performance,03_Concurrency_Performance.md,562-619,Widget artwork processing and file maintenance run on the MainActor,Widget artwork processing and file maintenance run on the MainActor
CP-010,CP-010,standalone,Medium,Medium,Concurrency and Performance,03_Concurrency_Performance.md,620-666,"Artwork cache limits entries, not memory cost","Artwork cache limits entries, not memory cost"
